symbol,date,open,high,low,close,volume,source,fetched_at_utc
0050,2020-01-02,97.05,98,97.05,97.65,4882015,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-03,98.3,98.7,97,97.65,6813547,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-06,97.05,97.1,96.4,96.4,9321768,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-07,96.45,96.7,95.4,96.1,6328602,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-08,95.2,96.2,95.05,95.65,8516995,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-09,96.3,97.1,96.3,96.95,7163943,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-10,97.5,97.8,96.95,97.3,9071925,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-13,97.85,98.1,97.5,98,6650898,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-14,98.5,98.85,98.4,98.6,11544956,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-15,98.7,98.7,97.45,97.6,10259354,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-16,97.15,97.5,97,97.3,8686499,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-17,97.7,97.75,97.1,97.3,8121134,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-20,97.55,98,97.55,97.7,6969945,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-30,95,95,92.15,92.15,32262874,twstock/twse,2026-07-01T08:07:37Z
0050,2020-01-31,90.65,90.65,89.65,89.95,22497767,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-03,88.5,89.15,87.6,89.05,15823593,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-04,89.45,90.95,89.2,90.6,8904471,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-05,91,91.3,90.3,90.85,6701508,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-06,91.65,92.3,91.35,92.3,10696477,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-07,91.65,91.65,90.95,91.2,9554828,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-10,90,91.2,89.6,91,7308908,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-11,91.35,91.95,91.35,91.75,5115402,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-12,92,92.9,92,92.65,5640117,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-13,93,93.25,92.7,92.8,5754317,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-14,92.8,93.25,92.55,92.95,4988165,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-17,92.3,92.55,91.95,92.3,6266211,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-18,91.4,91.6,91,91.05,12529356,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-19,91.15,92.25,91.05,92.1,7947011,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-20,92.35,92.5,91.35,91.7,6538336,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-21,91.65,91.95,90.95,91.25,5401188,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-24,90.25,90.4,89.7,90.1,13571936,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-25,89.5,90.5,89.45,90.35,8840104,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-26,89.15,89.75,88.9,89.45,15256003,twstock/twse,2026-07-01T08:07:37Z
0050,2020-02-27,89.35,89.5,88.35,88.65,24688054,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-02,87.5,88.25,86.85,87.35,27894641,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-03,88.85,88.95,88.25,88.6,11071900,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-04,88.8,89.2,88.4,89.2,8437415,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-05,89.8,90.25,89.75,90.2,9785483,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-06,89.65,89.65,88.3,88.35,17096376,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-09,86.8,86.8,85.6,85.85,27734426,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-10,85,86.3,84.9,86.3,23784345,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-11,86.45,86.55,85.05,85.3,15306570,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-12,84.5,84.5,81.15,82.15,44910246,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-13,78,81.4,75.95,81,53704860,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-16,80,80.4,76.95,77.3,33813951,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-17,74.3,76.7,74.3,74.85,51145832,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-18,74.95,75.25,72.8,72.8,46790503,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-19,71,71,67.25,68.55,68038340,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-20,71,74,70.9,74,40910533,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-23,71,72.1,69.55,70.8,22465117,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-24,73.85,75.3,73.7,74.25,26956843,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-25,76.8,77.45,76.1,76.85,32687820,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-26,77.4,77.45,76,77.2,19215688,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-27,78.3,78.7,76.45,76.6,21953901,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-30,74.7,76.15,74.05,75.85,13605883,twstock/twse,2026-07-01T08:07:37Z
0050,2020-03-31,76.8,77.2,75.6,76.15,9764000,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-01,76.5,76.65,75.85,75.9,9948017,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-06,76.95,77.1,75.75,77.05,12207626,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-07,78.5,78.9,78.05,78.5,15302038,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-08,78.5,79.7,78.35,79.6,15230698,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-09,79.85,80.1,78.85,79.25,15650105,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-10,79,79.35,78.7,79.3,5824779,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-13,79,79.4,78.55,78.8,7430914,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-14,79.05,80.95,79.05,80.95,13121792,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-15,81.25,81.5,81,81.2,17361116,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-16,80.2,81.1,80.05,80.8,12409525,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-17,83,84,82.7,83.25,34532038,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-20,83.25,83.5,82.8,83,12336416,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-21,82.65,82.65,80.5,80.6,21082454,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-22,80,80.6,79.5,80.6,10896151,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-23,81.15,82,80.3,80.9,13298948,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-24,80.8,81,80.45,80.9,5764752,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-27,82.15,82.6,81.65,82.55,13917724,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-28,82.9,82.9,82,82.55,7556661,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-29,83.05,83.9,82.95,83.7,11874079,twstock/twse,2026-07-01T08:07:37Z
0050,2020-04-30,84.45,85.5,84.4,85.5,18785156,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-04,82.4,83.3,82.2,83,15648380,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-05,83.5,83.8,83,83.4,7810636,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-06,83.3,83.75,82.6,83.5,6142593,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-07,83.5,84.15,83.3,83.85,6140995,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-08,84.6,84.75,84,84.35,6034013,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-11,85,85.4,84.7,85.05,6655422,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-12,84.6,84.6,83.65,84.05,11549365,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-13,83.7,84.4,83.6,84.3,4967165,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-14,83.8,83.85,83.2,83.3,8743268,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-15,84.05,84.25,83.05,83.85,6190781,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-18,83.05,83.45,82.8,83.15,8271703,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-19,84.4,84.5,83.65,83.9,5477775,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-20,84,84.2,83.5,83.8,9894141,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-21,84.15,84.8,84.1,84.5,7568047,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-22,83.8,83.9,82.9,82.95,13354146,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-25,83.15,83.5,82.15,83.5,5250544,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-26,84.25,84.65,83.85,84.45,15454949,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-27,84.7,84.85,84.05,84.35,4589767,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-28,84.9,84.9,83.55,83.85,7476909,twstock/twse,2026-07-01T08:07:37Z
0050,2020-05-29,83.4,84.45,83,84.45,5320690,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-01,84.45,85.15,84.4,84.9,8365321,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-02,85,85.5,85,85.3,11947060,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-03,86.15,86.9,86.1,86.8,18117244,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-04,87.5,87.75,87.15,87.6,15036553,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-05,87.7,88.35,87.7,88.35,9916582,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-08,88.9,89.8,88.8,89.5,15549542,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-09,89.6,89.8,88.95,89.6,11356579,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-10,89.65,90.7,89.55,90.45,10998897,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-11,90.45,90.85,89,89.05,14179192,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-12,87.25,88.5,87.1,88.25,21563371,twstock/twse,2026-07-01T08:07:37Z
0050,2020-06-15,88.1,88.3,86.9,87,9573700,twstock/twse,2026-07-01T08:07:37Z
